OrderedDict({'bootstrap': False, 'max_depth': 27, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.57027455380126
OrderedDict({'bootstrap': False, 'max_depth': 31, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.553166477158234
OrderedDict({'bootstrap': False, 'max_depth': 88, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 973}) - -13.523698080460974
OrderedDict({'bootstrap': False, 'max_depth': 89, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.572543540586135
OrderedDict({'bootstrap': False, 'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 919}) - -13.55376768957179
OrderedDict({'bootstrap': False, 'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.532424894302547
OrderedDict({'bootstrap': False, 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 945}) - -13.589201213603312
OrderedDict({'bootstrap': False, 'max_depth': 33, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.554312988579364
OrderedDict({'bootstrap': False, 'max_depth': 24, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.54978808681216
OrderedDict({'bootstrap': False, 'max_depth': 72, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 999}) - -13.603497514808135
OrderedDict({'bootstrap': False, 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 480}) - -13.560047057156222
OrderedDict({'bootstrap': False, 'max_depth': 19, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.578894186323705
OrderedDict({'bootstrap': False, 'max_depth': 19, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}) - -13.56474544490386
OrderedDict({'bootstrap': False, 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 1000}) - -13.574183837784812
OrderedDict({'bootstrap': False, 'max_depth': 17, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 142}) - -13.606148441218817
OrderedDict({'bootstrap': False, 'max_depth': 88, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 979}) - -13.573787405626897
OrderedDict({'bootstrap': False, 'max_depth': 18, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 20, 'n_estimators': 951}) - -13.679424329106524
