OrderedDict({'n_neighbors': 41, 'p': 1, 'weights': 'distance'}) - -14.53648694387758
OrderedDict({'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}) - -15.8953705978706
OrderedDict({'n_neighbors': 21, 'p': 1, 'weights': 'distance'}) - -14.248895400657066
OrderedDict({'n_neighbors': 25, 'p': 1, 'weights': 'distance'}) - -14.371008380729222
OrderedDict({'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}) - -15.00314086814087
OrderedDict({'n_neighbors': 2, 'p': 2, 'weights': 'distance'}) - -17.502502476435286
OrderedDict({'n_neighbors': 47, 'p': 1, 'weights': 'distance'}) - -14.586403348548279
OrderedDict({'n_neighbors': 21, 'p': 2, 'weights': 'uniform'}) - -15.677362914862915
OrderedDict({'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}) - -15.80290404040404
OrderedDict({'n_neighbors': 35, 'p': 1, 'weights': 'distance'}) - -14.487605490872994
OrderedDict({'n_neighbors': 43, 'p': 1, 'weights': 'uniform'}) - -15.024658416344462
OrderedDict({'n_neighbors': 47, 'p': 2, 'weights': 'distance'}) - -15.833123082694868
OrderedDict({'n_neighbors': 17, 'p': 1, 'weights': 'uniform'}) - -14.414757953140306
OrderedDict({'n_neighbors': 24, 'p': 1, 'weights': 'distance'}) - -14.354208579145913
OrderedDict({'n_neighbors': 49, 'p': 2, 'weights': 'distance'}) - -15.823069670400633
OrderedDict({'n_neighbors': 28, 'p': 1, 'weights': 'uniform'}) - -14.790804448929446
OrderedDict({'n_neighbors': 8, 'p': 1, 'weights': 'distance'}) - -14.26165049306799
OrderedDict({'n_neighbors': 23, 'p': 1, 'weights': 'uniform'}) - -14.63152725848378
OrderedDict({'n_neighbors': 14, 'p': 1, 'weights': 'distance'}) - -14.10390772276817
OrderedDict({'n_neighbors': 16, 'p': 1, 'weights': 'uniform'}) - -14.363725600600599
OrderedDict({'n_neighbors': 25, 'p': 2, 'weights': 'distance'}) - -15.73681620996921
OrderedDict({'n_neighbors': 23, 'p': 2, 'weights': 'uniform'}) - -15.750418165200774
OrderedDict({'n_neighbors': 47, 'p': 1, 'weights': 'distance'}) - -14.586403348548279
OrderedDict({'n_neighbors': 10, 'p': 1, 'weights': 'distance'}) - -14.113936831738542
OrderedDict({'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}) - -14.298044135044137
OrderedDict({'n_neighbors': 41, 'p': 2, 'weights': 'uniform'}) - -15.809980340651071
OrderedDict({'n_neighbors': 8, 'p': 1, 'weights': 'distance'}) - -14.26165049306799
OrderedDict({'n_neighbors': 44, 'p': 1, 'weights': 'distance'}) - -14.550768483153394
OrderedDict({'n_neighbors': 5, 'p': 1, 'weights': 'distance'}) - -14.52576556643047
OrderedDict({'n_neighbors': 34, 'p': 1, 'weights': 'distance'}) - -14.493211010665913
OrderedDict({'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}) - -14.298044135044137
OrderedDict({'n_neighbors': 10, 'p': 2, 'weights': 'distance'}) - -15.905183935250392
OrderedDict({'n_neighbors': 39, 'p': 2, 'weights': 'distance'}) - -15.821272284460822
OrderedDict({'n_neighbors': 44, 'p': 2, 'weights': 'distance'}) - -15.838964079626653
OrderedDict({'n_neighbors': 2, 'p': 2, 'weights': 'distance'}) - -17.502502476435286
OrderedDict({'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}) - -15.916713417963418
OrderedDict({'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}) - -14.298044135044137
OrderedDict({'n_neighbors': 25, 'p': 2, 'weights': 'distance'}) - -15.73681620996921
OrderedDict({'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}) - -14.215715874965875
OrderedDict({'n_neighbors': 40, 'p': 1, 'weights': 'uniform'}) - -15.004228893666394
OrderedDict({'n_neighbors': 47, 'p': 2, 'weights': 'distance'}) - -15.833123082694868
OrderedDict({'n_neighbors': 32, 'p': 2, 'weights': 'uniform'}) - -15.78573443471881
OrderedDict({'n_neighbors': 19, 'p': 1, 'weights': 'distance'}) - -14.206179577962246
OrderedDict({'n_neighbors': 13, 'p': 1, 'weights': 'distance'}) - -14.18355045048277
