OrderedDict({'colsample_bytree': 0.6448768732089127, 'learning_rate': 0.011184849227494228, 'max_depth': 10, 'n_estimators': 3039, 'subsample': 0.6}) - -12.885970976389794
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 4318, 'subsample': 0.6}) - -12.944083491691696
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.011272758338824865, 'max_depth': 10, 'n_estimators': 2556, 'subsample': 0.6}) - -12.836396906147424
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.015517136756787635, 'max_depth': 10, 'n_estimators': 2410, 'subsample': 0.6}) - -12.878272163772271
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.013483825323675017, 'max_depth': 9, 'n_estimators': 3320, 'subsample': 1.0}) - -13.027756153547207
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.010759740689492012, 'max_depth': 9, 'n_estimators': 3004, 'subsample': 0.6}) - -12.824794256161903
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 2412, 'subsample': 0.6}) - -12.849528459694227
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1766, 'subsample': 0.6}) - -12.923578042773121
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.010765384647344117, 'max_depth': 10, 'n_estimators': 3005, 'subsample': 0.7938598158122646}) - -12.947973733850427
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.013841298003722479, 'max_depth': 6, 'n_estimators': 3170, 'subsample': 0.6}) - -12.940142537569239
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.014343400954858239, 'max_depth': 10, 'n_estimators': 1953, 'subsample': 1.0}) - -12.974482107529573
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.017597460596145423, 'max_depth': 10, 'n_estimators': 883, 'subsample': 0.6}) - -12.882286061311138
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.013644705103953112, 'max_depth': 6, 'n_estimators': 2870, 'subsample': 0.6}) - -12.93571145403688
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.017921139688578027, 'max_depth': 3, 'n_estimators': 372, 'subsample': 0.6}) - -12.993246429515215
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.021813055340945017, 'max_depth': 10, 'n_estimators': 2236, 'subsample': 0.6}) - -12.934575904671231
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 4549, 'subsample': 0.6}) - -12.923006902158894
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 4547, 'subsample': 0.6}) - -12.997855366153075
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.02521129069719519, 'max_depth': 3, 'n_estimators': 834, 'subsample': 0.6}) - -13.091736546968653
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.023338673672898064, 'max_depth': 10, 'n_estimators': 3671, 'subsample': 1.0}) - -13.434413083816139
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.02686014868589834, 'max_depth': 4, 'n_estimators': 3653, 'subsample': 0.6}) - -13.177151541721614
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.011760031217629117, 'max_depth': 7, 'n_estimators': 3674, 'subsample': 0.6}) - -12.92326759574259
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1396, 'subsample': 0.6}) - -12.850066792396714
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.015030398996519386, 'max_depth': 10, 'n_estimators': 1505, 'subsample': 0.6}) - -12.886730812722595
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.04215147015377327, 'max_depth': 8, 'n_estimators': 3463, 'subsample': 0.6}) - -13.068030960854694
OrderedDict({'colsample_bytree': 0.9723165584219752, 'learning_rate': 0.016373623953859086, 'max_depth': 7, 'n_estimators': 3644, 'subsample': 0.6}) - -12.996667304558406
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.010092251789783246, 'max_depth': 10, 'n_estimators': 1441, 'subsample': 0.6}) - -12.926125568714813
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01791173521267321, 'max_depth': 10, 'n_estimators': 2694, 'subsample': 0.6}) - -12.86440562495826
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.036560182731035784, 'max_depth': 3, 'n_estimators': 1457, 'subsample': 0.6}) - -13.337432639249323
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.019782776779478903, 'max_depth': 7, 'n_estimators': 3684, 'subsample': 0.6}) - -12.887936288535254
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.01397536057873561, 'max_depth': 10, 'n_estimators': 825, 'subsample': 0.6}) - -12.944396503567205
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.011660581012674788, 'max_depth': 10, 'n_estimators': 1328, 'subsample': 0.6}) - -12.898493121097948
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.012446479744377964, 'max_depth': 10, 'n_estimators': 2310, 'subsample': 0.9841960183275842}) - -12.957401193514112
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.012116821138204462, 'max_depth': 10, 'n_estimators': 2651, 'subsample': 0.6}) - -12.871013248843507
OrderedDict({'colsample_bytree': 0.6, 'learning_rate': 0.0233739853879076, 'max_depth': 9, 'n_estimators': 2571, 'subsample': 0.6}) - -13.023112038386637
OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.01661191951219999, 'max_depth': 4, 'n_estimators': 2041, 'subsample': 0.6}) - -13.066477713932471
