OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 0.987158185673404, 'kernel': 'linear'}) - -16.79490730750714
OrderedDict({'C': 0.5157895391237429, 'epsilon': 0.001, 'gamma': 0.06396661304540097, 'kernel': 'linear'}) - -15.166107846806318
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03709155885521504, 'kernel': 'poly'}) - -15.369464671820001
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.19523426040665545, 'kernel': 'rbf'}) - -14.841700933490833
OrderedDict({'C': 5.831572195235291, 'epsilon': 1.0, 'gamma': 0.11836407127250093, 'kernel': 'rbf'}) - -14.625564262517273
OrderedDict({'C': 3.214377571842513, 'epsilon': 0.001, 'gamma': 3.190123785295549, 'kernel': 'linear'}) - -14.76236329964956
OrderedDict({'C': 3.4432126473846907, 'epsilon': 0.001, 'gamma': 0.2629738676507372, 'kernel': 'rbf'}) - -14.789822797766226
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.0401704113967225, 'kernel': 'poly'}) - -15.294567658046754
OrderedDict({'C': 0.027356985826422382, 'epsilon': 1.0, 'gamma': 0.8214687472449159, 'kernel': 'linear'}) - -16.219458193623232
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.04010272372236474, 'kernel': 'poly'}) - -15.296407147094015
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03992894314269851, 'kernel': 'poly'}) - -15.301176938617735
OrderedDict({'C': 100.0, 'epsilon': 0.010333172003295102, 'gamma': 0.040206767385582765, 'kernel': 'poly'}) - -15.29379892397366
OrderedDict({'C': 0.34858296377771825, 'epsilon': 0.001, 'gamma': 0.14708645860814115, 'kernel': 'rbf'}) - -15.87823960110635
OrderedDict({'C': 100.0, 'epsilon': 0.128217447993495, 'gamma': 0.040374884619786354, 'kernel': 'poly'}) - -15.294029422859373
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.01, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.040507927140820375, 'kernel': 'poly'}) - -15.285945936223692
OrderedDict({'C': 0.011988339232533809, 'epsilon': 1.0, 'gamma': 0.9794621523744808, 'kernel': 'linear'}) - -16.67148536028576
OrderedDict({'C': 0.0261019728216125, 'epsilon': 1.0, 'gamma': 0.8763331229693458, 'kernel': 'linear'}) - -16.238334949262843
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.039439869822461955, 'kernel': 'poly'}) - -15.31309438290464
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.039251782197634, 'kernel': 'poly'}) - -15.317165487001429
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.040386583841023546, 'kernel': 'poly'}) - -15.288902374112173
OrderedDict({'C': 0.06579379113924051, 'epsilon': 1.0, 'gamma': 0.664927390154532, 'kernel': 'linear'}) - -15.89308483795674
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03904623805145442, 'kernel': 'poly'}) - -15.321542413930644
OrderedDict({'C': 0.012389534434669374, 'epsilon': 1.0, 'gamma': 0.9869037699036649, 'kernel': 'linear'}) - -16.646178657222713
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03879771213820712, 'kernel': 'poly'}) - -15.326716699678522
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03913873458850369, 'kernel': 'poly'}) - -15.319533029584353
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.04083407792340171, 'kernel': 'poly'}) - -15.278110610917135
OrderedDict({'C': 0.012090756284523541, 'epsilon': 1.0, 'gamma': 0.9881723341663147, 'kernel': 'linear'}) - -16.66617323627355
OrderedDict({'C': 0.012120287960667107, 'epsilon': 1.0, 'gamma': 0.9885488086683378, 'kernel': 'linear'}) - -16.66420787526216
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03900216026975497, 'kernel': 'poly'}) - -15.322513832388946
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03905458994329289, 'kernel': 'poly'}) - -15.321368795265707
OrderedDict({'C': 100.0, 'epsilon': 0.07378116136721374, 'gamma': 0.05081004178457293, 'kernel': 'poly'}) - -15.05612051567341
OrderedDict({'C': 0.010858405216373285, 'epsilon': 1.0, 'gamma': 0.9997002396838675, 'kernel': 'linear'}) - -16.73732563398773
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03778264584152683, 'kernel': 'poly'}) - -15.350955951591192
OrderedDict({'C': 0.01079408624258036, 'epsilon': 1.0, 'gamma': 1.0012749885384677, 'kernel': 'linear'}) - -16.742025768289466
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03899466149575462, 'kernel': 'poly'}) - -15.322674858849155
OrderedDict({'C': 0.010823760629296278, 'epsilon': 1.0, 'gamma': 1.0010262886917773, 'kernel': 'linear'}) - -16.73996644084135
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.038105737874933675, 'kernel': 'poly'}) - -15.342817651559889
OrderedDict({'C': 0.010844351392162301, 'epsilon': 1.0, 'gamma': 1.0008873108490375, 'kernel': 'linear'}) - -16.73841120289146
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03837066059410917, 'kernel': 'poly'}) - -15.33651323206316
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.038388704149965605, 'kernel': 'poly'}) - -15.336069912812917
OrderedDict({'C': 100.0, 'epsilon': 0.1610503918290388, 'gamma': 0.04488571238741939, 'kernel': 'linear'}) - -14.652156762134414
OrderedDict({'C': 100.0, 'epsilon': 0.5304781526069743, 'gamma': 0.053353066211843395, 'kernel': 'rbf'}) - -14.174534411343297
OrderedDict({'C': 0.028875953178156333, 'epsilon': 1.0, 'gamma': 0.8989538284042975, 'kernel': 'linear'}) - -16.200057571195867
OrderedDict({'C': 0.010985292749510763, 'epsilon': 1.0, 'gamma': 0.9894262617940596, 'kernel': 'linear'}) - -16.72797240610406
OrderedDict({'C': 100.0, 'epsilon': 0.0865183552129684, 'gamma': 0.03852317343626977, 'kernel': 'poly'}) - -15.334905621333561
OrderedDict({'C': 43.96588504433074, 'epsilon': 1.0, 'gamma': 0.028158162563087275, 'kernel': 'linear'}) - -14.642443595777763
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 1.0030237508727284, 'kernel': 'linear'}) - -16.79490730750714
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 1.0039113982259822, 'kernel': 'linear'}) - -16.79490730750714
OrderedDict({'C': 100.0, 'epsilon': 0.001, 'gamma': 0.03035285587150047, 'kernel': 'linear'}) - -14.670768705239135
OrderedDict({'C': 100.0, 'epsilon': 0.0014702004402741974, 'gamma': 0.03813630501896505, 'kernel': 'poly'}) - -15.342090095378094
OrderedDict({'C': 100.0, 'epsilon': 0.010656686152114535, 'gamma': 0.03787619467759642, 'kernel': 'poly'}) - -15.348681074394154
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 1.0076928280598902, 'kernel': 'linear'}) - -16.79490730750714
OrderedDict({'C': 0.01, 'epsilon': 1.0, 'gamma': 1.1447427093581306, 'kernel': 'poly'}) - -15.028856332508525
OrderedDict({'C': 100.0, 'epsilon': 0.9612272917831377, 'gamma': 0.031002950203355525, 'kernel': 'linear'}) - -14.618751023779959
OrderedDict({'C': 100.0, 'epsilon': 0.7812070652267898, 'gamma': 0.05465201159035784, 'kernel': 'rbf'}) - -14.16596172702929
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.03530056118929007, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 100.0, 'epsilon': 0.9194443256701226, 'gamma': 0.04954925188249591, 'kernel': 'poly'}) - -15.099689503925143
OrderedDict({'C': 100.0, 'epsilon': 0.7368133313658825, 'gamma': 0.032868205889526984, 'kernel': 'poly'}) - -15.464541972473423
OrderedDict({'C': 100.0, 'epsilon': 0.9967921829237312, 'gamma': 0.039415611707521954, 'kernel': 'linear'}) - -14.618498976826206
OrderedDict({'C': 100.0, 'epsilon': 0.7582450387715265, 'gamma': 0.04097871126915077, 'kernel': 'linear'}) - -14.609021372581214
OrderedDict({'C': 0.02552617428335344, 'epsilon': 1.0, 'gamma': 0.8354637679790912, 'kernel': 'linear'}) - -16.245885234269714
OrderedDict({'C': 100.0, 'epsilon': 1.0, 'gamma': 0.046169918664015784, 'kernel': 'linear'}) - -14.61832558779144
OrderedDict({'C': 0.025588448538825054, 'epsilon': 1.0, 'gamma': 0.8350253283327137, 'kernel': 'linear'}) - -16.244912497269656
OrderedDict({'C': 0.02549247127184533, 'epsilon': 1.0, 'gamma': 0.835111610246972, 'kernel': 'linear'}) - -16.246388663176937
OrderedDict({'C': 0.025419615491298172, 'epsilon': 1.0, 'gamma': 0.8351864528726174, 'kernel': 'linear'}) - -16.24768611517317
OrderedDict({'C': 0.025383644068975156, 'epsilon': 1.0, 'gamma': 0.8352165185485015, 'kernel': 'linear'}) - -16.24848695979344
OrderedDict({'C': 0.2717127681176743, 'epsilon': 1.0, 'gamma': 0.40552241392419125, 'kernel': 'linear'}) - -15.374072454820913
OrderedDict({'C': 0.05537225682472865, 'epsilon': 1.0, 'gamma': 0.6785038915085424, 'kernel': 'linear'}) - -15.96812642075036
OrderedDict({'C': 0.5510376700579551, 'epsilon': 1.0, 'gamma': 0.34482082142225345, 'kernel': 'linear'}) - -15.146805361404876
